2014-04-22 17:48:27: 172.17.58.130 (c8:e0:eb:d9:57:4f) -> 169.254.255.255 (00:00:00:00:00:00)
2014-04-22 17:48:34: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.164 (00:00:00:00:00:00)
2014-04-22 17:48:35: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.130 (00:00:00:00:00:00)
2014-04-22 17:48:35: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.178 (00:00:00:00:00:00)
2014-04-22 17:48:35: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.180 (00:00:00:00:00:00)
2014-04-22 17:48:35: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.164 (00:00:00:00:00:00)
2014-04-22 17:48:36: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.178 (00:00:00:00:00:00)
2014-04-22 17:48:36: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.180 (00:00:00:00:00:00)
2014-04-22 17:48:36: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:37: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.180 (00:00:00:00:00:00)
2014-04-22 17:48:38: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.132 (00:00:00:00:00:00)
2014-04-22 17:48:39: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:40: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:44: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:46: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:47: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:47: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:47: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.254 (00:00:00:00:00:00)
2014-04-22 17:48:48: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:49: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.254 (00:00:00:00:00:00)
2014-04-22 17:48:49: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.7 (00:00:00:00:00:00)
2014-04-22 17:48:49: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:50: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:51: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.7 (00:00:00:00:00:00)
2014-04-22 17:48:52: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.198 (00:00:00:00:00:00)
2014-04-22 17:48:52: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:53: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.143 (00:00:00:00:00:00)
2014-04-22 17:48:53: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:54: 172.17.58.166 (84:8e:0c:12:ca:3a) -> 172.17.58.166 (00:00:00:00:00:00)
2014-04-22 17:48:54: 172.17.58.166 (84:8e:0c:12:ca:3a) -> 172.17.58.1 (00:00:00:00:00:00)
2014-04-22 17:48:54: 172.17.58.166 (84:8e:0c:12:ca:3a) -> 169.254.255.255 (00:00:00:00:00:00)
2014-04-22 17:48:55: 172.17.58.166 (84:8e:0c:12:ca:3a) -> 172.17.58.1 (00:00:00:00:00:00)
2014-04-22 17:48:55: 172.17.58.166 (84:8e:0c:12:ca:3a) -> 169.254.255.255 (00:00:00:00:00:00)
2014-04-22 17:48:55: 172.17.58.166 (84:8e:0c:12:ca:3a) -> 169.254.255.255 (00:00:00:00:00:00)
2014-04-22 17:48:55: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.112 (00:00:00:00:00:00)
2014-04-22 17:48:55: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.112 (00:00:00:00:00:00)
2014-04-22 17:48:56: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:57: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:58: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.111 (00:00:00:00:00:00)
2014-04-22 17:48:58: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:48:59: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.131 (00:00:00:00:00:00)
2014-04-22 17:49:00: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.156 (00:00:00:00:00:00)
2014-04-22 17:49:00: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.131 (00:00:00:00:00:00)
2014-04-22 17:49:01: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.131 (00:00:00:00:00:00)
2014-04-22 17:49:01: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.156 (00:00:00:00:00:00)
2014-04-22 17:49:02: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.131 (00:00:00:00:00:00)
2014-04-22 17:49:02: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.166 (00:00:00:00:00:00)
2014-04-22 17:49:02: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.166 (00:00:00:00:00:00)
2014-04-22 17:49:02: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.131 (00:00:00:00:00:00)
2014-04-22 17:49:03: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:49:03: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.111 (00:00:00:00:00:00)
2014-04-22 17:49:03: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.166 (00:00:00:00:00:00)
2014-04-22 17:49:03: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:49:03: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.131 (00:00:00:00:00:00)
2014-04-22 17:49:03: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.254 (00:00:00:00:00:00)
2014-04-22 17:49:03: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.111 (00:00:00:00:00:00)
2014-04-22 17:49:04: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.112 (00:00:00:00:00:00)
2014-04-22 17:49:05: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.219 (00:00:00:00:00:00)
2014-04-22 17:49:05: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.254 (00:00:00:00:00:00)
2014-04-22 17:49:06: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.254 (00:00:00:00:00:00)
2014-04-22 17:49:06: 172.17.58.128 (00:22:f4:9f:03:40) -> 172.17.58.1 (00:00:00:00:00:00)
2014-04-22 17:49:07: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.125 (00:00:00:00:00:00)
2014-04-22 17:49:07: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.125 (00:00:00:00:00:00)
2014-04-22 17:49:08: 172.17.58.128 (00:22:f4:9f:03:40) -> 172.17.58.1 (00:00:00:00:00:00)
2014-04-22 17:49:08: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.131 (00:00:00:00:00:00)
2014-04-22 17:49:09: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.125 (00:00:00:00:00:00)
2014-04-22 17:49:09: 172.17.58.128 (00:22:f4:9f:03:40) -> 172.17.58.1 (00:00:00:00:00:00)
2014-04-22 17:49:09: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.125 (00:00:00:00:00:00)
2014-04-22 17:49:09: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.131 (00:00:00:00:00:00)
2014-04-22 17:49:09: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.125 (00:00:00:00:00:00)
2014-04-22 17:49:09: 172.17.58.128 (00:22:f4:9f:03:40) -> 172.17.58.1 (00:00:00:00:00:00)
2014-04-22 17:49:10: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.125 (00:00:00:00:00:00)
2014-04-22 17:49:10: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.125 (00:00:00:00:00:00)
2014-04-22 17:49:11: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.107 (00:00:00:00:00:00)
2014-04-22 17:49:11: 172.17.58.1 (00:0c:42:96:91:67) -> 172.17.58.125 (00:00:00:00:00:00)
